Variables:,log10te,Kr0,Kr1,Kr2,Kr3,Kr4,Kr5,Kr6,Kr7,Kr8,Kr9,Kr10,Kr11,Kr12,Kr13,Kr14,Kr15,Kr16,Kr17,Kr18,Kr19,Kr20,Kr21,Kr22,Kr23,Kr24,Kr25,Kr26,Kr27,Kr28,Kr29,Kr30,Kr31,Kr32,Kr33,Kr34,Kr35,Kr36
Type:,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
Data:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.1,0.9992,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.2,0.9907,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.3,0.9326,0.0673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.4,0.712,0.2878,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.5,0.3594,0.6334,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.6,0.1273,0.8012,0.0711,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.7,0.0334,0.6384,0.315,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.8,0.0054,0.276,0.5796,0.1369,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,0.9,0.0005,0.0612,0.4423,0.4517,0.438,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1,0,0.0075,0.1577,0.5579,0.2584,0.018,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.1,0,0.0005,0.0278,0.285,0.4916,0.1715,0.0234,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.2,0,0,0.0021,0.0551,0.2897,0.3915,0.2435,0.0161,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.3,0,0,0.0001,0.0035,0.0419,0.2036,0.4571,0.1777,0.1099,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.4,0,0,0,0.0001,0.0019,0.0215,0.1451,0.2439,0.5805,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.5,0,0,0,0,0,0.0011,0.0194,0.1121,0.8126,0.0542,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.6,0,0,0,0,0,0,0.0024,0.0406,0.7407,0.2058,0.0103,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.7,0,0,0,0,0,0,0.0003,0.0118,0.4652,0.4328,0.086,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.8,0,0,0,0,0,0,0,0.0023,0.177,0.4655,0.2986,0.0539,0.0026,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,1.9,0,0,0,0,0,0,0,0.0003,0.0369,0.2398,0.4232,0.2504,0.0454,0.0039,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2,0,0,0,0,0,0,0,0,0.0039,0.0566,0.2424,0.3996,0.2238,0.0646,0.0085,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.05,0,0,0,0,0,0,0,0,0.001,0.0202,0.1296,0.3391,0.3146,0.1552,0.0368,0.0033,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.1,0,0,0,0,0,0,0,0,0.0002,0.0058,0.0546,0.2203,0.3272,0.2656,0.1077,0.0171,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.15,0,0,0,0,0,0,0,0,0,0.0014,0.0182,0.1104,0.2545,0.3285,0.2196,0.059,0.008,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.2,0,0,0,0,0,0,0,0,0,0.0003,0.0049,0.0435,0.1517,0.302,0.3213,0.1402,0.0327,0.0032,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.25,0,0,0,0,0,0,0,0,0,0,0.0011,0.0139,0.0715,0.2135,0.3504,0.2404,0.0922,0.0159,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.3,0,0,0,0,0,0,0,0,0,0,0.0002,0.0037,0.0273,0.1194,0.2939,0.3076,0.1877,0.0541,0.0057,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.35,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0086,0.0538,0.194,0.3016,0.284,0.1322,0.0226,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.4,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0023,0.0199,0.1029,0.232,0.3278,0.239,0.0645,0.0107,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0062,0.0448,0.1436,0.2973,0.3303,0.1365,0.0363,0.0041,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0.0164,0.0732,0.2174,0.359,0.2213,0.0915,0.0168,0.002,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0051,0.0312,0.1302,0.3126,0.2819,0.1751,0.051,0.0101,0.002,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.011,0.0637,0.2179,0.2814,0.2565,0.1158,0.0361,0.0118,0.0033,0.001,0,0,0,0,0,0,0,0,0,0,0,0
Data:,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0031,0.0246,0.1175,0.2132,0.2788,0.1904,0.0914,0.0473,0.0217,0.0097,0.0016,0.0003,0,0,0,0,0,0,0,0,0,0
Data:,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0067,0.0442,0.1109,0.204,0.2062,0.1483,0.1187,0.0861,0.0563,0.0139,0.0039,0,0,0,0,0,0,0,0,0,0
Data:,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0102,0.0348,0.0885,0.1295,0.1362,0.1641,0.1833,0.1682,0.0605,0.0231,0.0002,0,0,0,0,0,0,0,0,0
Data:,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0015,0.0069,0.024,0.0498,0.0748,0.1323,0.2212,0.2765,0.1402,0.0717,0.001,0,0,0,0,0,0,0,0,0
Data:,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0011,0.0051,0.0146,0.0306,0.0777,0.1895,0.314,0.2175,0.1461,0.0038,0,0,0,0,0,0,0,0,0
Data:,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.001,0.0038,0.011,0.0393,0.1365,0.2932,0.2701,0.2345,0.0101,0.0003,0,0,0,0,0,0,0,0
Data:,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.001,0.0038,0.0186,0.0897,0.2452,0.2936,0.3245,0.0225,0.001,0,0,0,0,0,0,0,0
Data:,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0013,0.0085,0.0559,0.191,0.2916,0.4047,0.0435,0.0031,0,0,0,0,0,0,0,0
Data:,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0038,0.0336,0.1415,0.2706,0.4662,0.075,0.0082,0.0006,0,0,0,0,0,0,0
Data:,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0195,0.1005,0.2374,0.5018,0.1176,0.0191,0.002,0.0002,0,0,0,0,0,0
Data:,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0111,0.0685,0.1973,0.507,0.1686,0.0396,0.0062,0.0008,0,0,0,0,0,0
Data:,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.006,0.0446,0.1548,0.4793,0.2213,0.0735,0.0164,0.0032,0.0004,0,0,0,0,0
Data:,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0.0273,0.1134,0.4199,0.2642,0.1211,0.0379,0.0105,0.002,0.0003,0,0,0,0
Data:,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0154,0.076,0.3346,0.2824,0.1756,0.0754,0.029,0.0078,0.0018,0.0003,0,0,0
Data:,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0034,0.0231,0.1421,0.2076,0.2272,0.1745,0.1224,0.0606,0.0273,0.009,0.0025,0,0
Data:,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0033,0.0278,0.0674,0.1241,0.1621,0.1955,0.1686,0.1347,0.0781,0.039,0,0
Data:,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0024,0.0094,0.0279,0.0597,0.1185,0.1705,0.2277,0.2167,0.1665,0.0005,0
Data:,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0038,0.013,0.0409,0.0948,0.2025,0.2994,0.3416,0.003,0
Data:,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0024,0.0115,0.0416,0.1366,0.3024,0.494,0.011,0
Data:,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.003,0.0167,0.0815,0.2631,0.6045,0.03,0.0008
Data:,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0064,0.0452,0.2089,0.6684,0.0668,0.0035
Data:,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.0237,0.154,0.6807,0.127,0.0119
Data:,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.0118,0.106,0.6402,0.2089,0.0321
Data:,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.0683,0.5561,0.2985,0.0711
